Species,Sambaquis,Colonial,Present,All_periods,Type,Max_size_cm,Trophic_category,Vertical_position,Habitat_zone,Habitat_use,Habitat_use,Mobility,Group_size,Max_size_class,Threatened_MMA,MMA_Red_List,Threatened_IUCN,Red_list_IUCN,Population_trend
Gymnura_sp.,0,1,0,0,Chondrichthyes,400,MCAR,1,SH,4,2,2,1,LARGE,0,NA,0,NA,NA
Haemulon_aurolineatum,1,0,1,0,Osteichthyes,25,INV,2,SH,7,4,3,3,MEDSMALL,0,LC,0,LC,Deacreasing
Haemulon_flavolineatum,0,0,1,0,Osteichthyes,30,INV,2,SH,7,4,2,3,MEDIUM,0,NA,0,LC,Unknown
Haemulon_plumierii,1,0,0,0,Osteichthyes,53,INV,2,SH,7,4,2,3,LARGE,0,DD,0,LC,Deacreasing
Haemulon_sciurus,1,0,0,0,Osteichthyes,46,INV,2,SH,7,4,2,3,MEDIUM,0,NA,0,LC,Unknown
Haemulon_sp.,1,1,1,1,Osteichthyes,53,INV,2,SH,7,4,2,3,LARGE,0,LC,0,LC,NA
Haemulon_atlanticus,1,0,1,0,Osteichthyes,30,INV,2,SH,7,4,2,3,MEDIUM,0,NA,0,LC,Unknown
Harengula_clupeola,0,0,1,0,Osteichthyes,18,PLANK,3,SH,7,4,3,3,MEDSMALL,0,LC,0,LC,Deacreasing
Harengula_jaguana,0,0,1,0,Osteichthyes,21.2,PLANK,2,SH,7,4,3,3,MEDSMALL,0,LC,0,LC,Unknown
Helicolenus_dactylopterus,0,0,1,0,Osteichthyes,50,MCAR,1,SH-SL,1,1,1,NA,MEDIUM,0,NA,0,LC,Unknown
Helicolenus_lahillei,0,0,1,0,Osteichthyes,45,MCAR,1,SH-SL,3,2,1,NA,MEDIUM,0,LC,0,NE,NA
Hemicaranx_amblyrhynchus,0,0,1,0,Osteichthyes,50,MCAR,3,SH,2,1,3,2,MEDIUM,0,LC,0,LC,Unknown
Hemiramphus_balao,0,0,1,0,Osteichthyes,40,MCAR,3,SH,3,2,2,3,MEDIUM,0,DD,0,LC,Unknown
Hemiramphus_brasiliensis,0,0,1,0,Osteichthyes,55,OMNI,3,SH,6,3,3,3,LARGE,0,LC,0,LC,Unknown
Hemiramphus_sp.,1,0,1,0,Osteichthyes,55,OMNI,3,SH,6,3,3,3,LARGE,0,NA,0,LC,Unknown
Hexanchus_griseus,0,0,1,0,Chondrichthyes,482,MCAR,1,SH-OFF,2,1,3,1,LARGE,0,LC,0,NT,Deacreasing
Hirundichthys_affinis,0,0,1,0,Osteichthyes,33,PLANK,3,SH,1,1,3,3,MEDIUM,0,LC,0,LC,Stable
Holocentrus_adscensionis,1,1,1,1,Osteichthyes,61,INV,2,SH-OFF,6,3,1,1,LARGE,0,LC,0,LC,Unknown
